text,label
"Kerajaan Pajajaran, Majapahit, Mataram Kuno &amp; Pagaruyung adalah penganut Islam Hakikat (Spiritualisme). Bukan Hindu-Buddha apalagi animisme. China datang dengan jubah Islam Syari'at (Material-isme), memfitnah Spiritualisme sbg ajaran sesat 🤣🤣🤣 https://t.co/7K4QTYHKNL",neutral
Nih klub ngawur banget. Masa kampanye kaum pelangi pakai akun cabang Arab 😭 https://t.co/tGtkhVy8vN,hate
"Perbandingan Malaysia dan Indonesia dalam hal pengungsi Rohingya Apa bedanya? Salah satunya dr jumlah yang ditampung. Malaysia nampung 105 ribu orang lebih. Indonesia paling sedikit, 859 orang. Etnis mana aslinya? Selama masih dari spesies manusia, bukan alien yang terdampar, https://t.co/uAfrFIGR6y",neutral
Di tunggu y KLARIFIKASINYA Bpk. Agus Subianto USER USER untuk adegan temu kangen di bwh ini apa maksudnya?? 😂 MENGHORMATI Habib yg baik itu baguss.. Tp bukan habib sesat yg punya track record mntan terpidana pernah mnganiaya anak di bwh umur.. 👨👨 https://t.co/0DZ84qBpBi,hate
teruslah produktif dan terlihat menghambur2kan uang sampe dikira 💞ani ani💞 https://t.co/QKwitIafWn,neutral
"Alhamdulillah taun ini masih bisa berbagi, even gak seberapa tp insyaAllah berkah ridho ikhlas lilahita'ala. Take a beer!!! https://t.co/gb1O6DJJYZ",neutral
"Assalamualaikum, yg ga jwb kris10 https://t.co/nwcx5tSbCm",neutral
Gini ya Sobat Gurun . Menyan itu digunakan juga di Masjidil Haram . Ada Haditsnya . Jangan beghok dong . https://t.co/5BR5fgVCBy,hate
Nabi lahir di Mekah meninggal di Medinah. Di kedua kota itu jarang terdengar cucu Nabi.. Anehnya ustru di Indonesia malah banyak yang ngaku cucu Nabi...? Take a beer! (Sigit Raharjo) https://t.co/pks1VLEuSo,hate
USER Jangan bawa2 cina sipit Bu... Kan golonganmu jg cina sipit jg.. Rasis deh https://t.co/tjT7MoRnCd,hate
"USER USER USER USER USER USER USER USER USER Waduh… masa habib diminta nyanyi dangdut… bahaya ini, masa jadi kayak banserep.. Parah… Parah.. (kompor gas) coba Bang USER di advokasi… Bib USER ini memenuhi unsur2 pencemaran lingkungan ehh.. (pakai avtur bukan gas lagu) https://t.co/Ux5ddmWXeH",hate
"USER USER Kenyataannya banyak yang dipaksa jadi islam ktp agar statistik islam terlihat mayoritas gitu. Kalo nulis agama non islam di ktp , prosesnya lama, bahkan nggak diberikan ktp sama sekali USER USER https://t.co/8hczP3TeOG",hate
alhamdulillah ga ky ani ani😊 https://t.co/v8ko96J1UB,neutral
"Berbukalah dengan yang manis manis. Karena nyokap ngak bikin es hari ini, ywdh gw siasati dengan cara ngelihat kata2nya yg manis. Yg suka bilang klo cowo sering bikin janji manis, noh cewe liat baek2 lu jgn mendadak kelilipan lu. Dasar kaum seblak! https://t.co/tSVpo69amG",hate
"Kesal anjir nikah mulu pikirannya Naena mulu pikirannya Ntar kalo ada masalah sedikit nangis, cowoknya deket ama cewek lain nangis, capek nyapu, nyeterika, masak nangis.. Hadeh perempuan... https://t.co/2u7Vx57wCH",hate
#MyLovelyLiarEp14 #MyLovelyLiar Membagongkan sekali.. ternyata hyungnya kaum pelangi 😱😩 https://t.co/MJtTKGEjmb,neutral
minyun—one tweet au perkara cewek parsos mxngi punya pacar langsung berantem deh tuh berdua https://t.co/FZP3afxs9K,neutral
LGBT https://t.co/H9E3htxERc,neutral
"i love being the nuruls. seblak, es cekek, daster, cardigan, sweater, and kerudung slobokan is loveable. terakhir the nurulsnya lagi nyari kreco aowkaowk. seru. this is anak kabupaten 🫀🖤 https://t.co/IHARHtgaV2",neutral
-dips! dengerin noh para cowo kere yg ngatain cewe itu matre wkwkwk https://t.co/4g1qjAkVnz,hate
"Maap yak shipper lesbong. Ga penting lisa ngepost2 promosiin brand bias lu, jangan ngarep deh. Mending lisa promoin collab dia 😜 https://t.co/3KvXr1gf67",hate
"ga nanggepin tapi oppa lu aja caperrr, otomatis naggepin tuh rumor kan. Kremi nya aja yang fokus ke cewe nya doang, noh oppa lu aja caper, pansos ke Jennie dri awal ngefollow🥱🥱 https://t.co/tO6B6V0Am7",hate
oh seblak yang suka dimakan sama cewe cewe twitter itu yang kaya gini? https://t.co/nNaroDTHSJ,hate
USER buaya jantan : aku janji ga akan ninggalin kamu buaya betina : aku ga pernah sesayang ini sm cowok https://t.co/dVke2gr7Ws,hate
pejuang nasi bungkus https://t.co/PdJN5FuG0j,neutral
USER oten nyari duit https://t.co/AegzZxcIeb,hate
1 lagi PERSEMBAHAN dr mereka yg kalian kafir2kan..kaum minoritas… 500 TON OKSIGEN 🙏🏻…Tuhan membalas kebaikkan bapak SUKANTO TANOTO / TAN KANG HOO ❤️🙏🏻 https://t.co/xL6eYoOyUw,neutral
"Wkwkwkw 😂 Si USER langsung mingkem karena gak bisa baca kitab gundul.😝😝 Gus Muwafiq bercerita tentang Rasulullah sesuai fakta dianggap penghinaan. UAS: ""Rasulullah tidak mampu mewujudkan Rahmatan Lil alamin. Evie: ""Rasulullah sesat. Bani BODOH 212 BUNGKAM https://t.co/UZDoBu7pkO",hate
"Tahu Allah seperti apa itu nanti disurga,tetapi jika kafir kan tidak masuk surga? https://t.co/TXuzLpCNBO",hate
"Postingan Majelis Pembinaan Kader dan Sumber Daya Insani (MPKSDI) PP Muhammadiyah di IG Membahas ""Masjid Muhammadiyah"" dan ""Islam Tidak Melarang Orang Beriman untuk Bermain Musik"" Paham kan arahnya ke mana?😁 https://t.co/aBXKpEtO54",hate
