tweet_text,images,target,anotasi
"Kerajaan Pajajaran, Majapahit, Mataram Kuno &amp; Pagaruyung adalah penganut Islam Hakikat (Spiritualisme). Bukan Hindu-Buddha apalagi animisme. China datang dengan jubah Islam Syari'at (Material-isme), memfitnah Spiritualisme sbg ajaran sesat 🤣🤣🤣 https://t.co/7K4QTYHKNL",1587087261275152384_0.jpg,muslim,not hate
Nih klub ngawur banget. Masa kampanye kaum pelangi pakai akun cabang Arab 😭 https://t.co/tGtkhVy8vN,1759555332689609118_0.jpg,lgbt,hate
"Perbandingan Malaysia dan Indonesia dalam hal pengungsi Rohingya Apa bedanya? Salah satunya dr jumlah yang ditampung. Malaysia nampung 105 ribu orang lebih. Indonesia paling sedikit, 859 orang. Etnis mana aslinya? Selama masih dari spesies manusia, bukan alien yang terdampar, https://t.co/uAfrFIGR6y",1741940075737608656_0.jpg,rohingya,not hate
Di tunggu y KLARIFIKASINYA Bpk. Agus Subianto USER USER untuk adegan temu kangen di bwh ini apa maksudnya?? 😂 MENGHORMATI Habib yg baik itu baguss.. Tp bukan habib sesat yg punya track record mntan terpidana pernah mnganiaya anak di bwh umur.. 👨👨 https://t.co/0DZ84qBpBi,1723960967657377808_0.jpg,muslim,hate
teruslah produktif dan terlihat menghambur2kan uang sampe dikira 💞ani ani💞 https://t.co/QKwitIafWn,1776650672886460730_0.jpg,wanita,not hate
"Alhamdulillah taun ini masih bisa berbagi, even gak seberapa tp insyaAllah berkah ridho ikhlas lilahita'ala. Take a beer!!! https://t.co/gb1O6DJJYZ",1647069000923496448_0.jpg,muslim,not hate
"Assalamualaikum, yg ga jwb kris10 https://t.co/nwcx5tSbCm",1421403100762361864_0.jpg,nonislam,not hate
Gini ya Sobat Gurun . Menyan itu digunakan juga di Masjidil Haram . Ada Haditsnya . Jangan beghok dong . https://t.co/5BR5fgVCBy,1392188767931232256_0.jpg,arab,hate
Nabi lahir di Mekah meninggal di Medinah. Di kedua kota itu jarang terdengar cucu Nabi.. Anehnya ustru di Indonesia malah banyak yang ngaku cucu Nabi...? Take a beer! (Sigit Raharjo) https://t.co/pks1VLEuSo,1721404172493545614_0.jpg,muslim,hate
USER Jangan bawa2 cina sipit Bu... Kan golonganmu jg cina sipit jg.. Rasis deh https://t.co/tjT7MoRnCd,1229801627457994752_0.jpg,cina,hate
"USER USER USER USER USER USER USER USER USER Waduh… masa habib diminta nyanyi dangdut… bahaya ini, masa jadi kayak banserep.. Parah… Parah.. (kompor gas) coba Bang USER di advokasi… Bib USER ini memenuhi unsur2 pencemaran lingkungan ehh.. (pakai avtur bukan gas lagu) https://t.co/Ux5ddmWXeH",1473171140881223680_0.jpg,muslim,hate
"USER USER Kenyataannya banyak yang dipaksa jadi islam ktp agar statistik islam terlihat mayoritas gitu. Kalo nulis agama non islam di ktp , prosesnya lama, bahkan nggak diberikan ktp sama sekali USER USER https://t.co/8hczP3TeOG",1643029294183256064_2.jpg,muslim,hate
alhamdulillah ga ky ani ani😊 https://t.co/v8ko96J1UB,1776949718184345711_0.jpg,wanita,not hate
"Berbukalah dengan yang manis manis. Karena nyokap ngak bikin es hari ini, ywdh gw siasati dengan cara ngelihat kata2nya yg manis. Yg suka bilang klo cowo sering bikin janji manis, noh cewe liat baek2 lu jgn mendadak kelilipan lu. Dasar kaum seblak! https://t.co/tSVpo69amG",1253608310508449793_0.jpg,wanita,hate
"Kesal anjir nikah mulu pikirannya Naena mulu pikirannya Ntar kalo ada masalah sedikit nangis, cowoknya deket ama cewek lain nangis, capek nyapu, nyeterika, masak nangis.. Hadeh perempuan... https://t.co/2u7Vx57wCH",1186878528261767168_0.jpg,wanita,hate
#MyLovelyLiarEp14 #MyLovelyLiar Membagongkan sekali.. ternyata hyungnya kaum pelangi 😱😩 https://t.co/MJtTKGEjmb,1701652566072021050_1.jpg,lgbt,not hate
minyun—one tweet au perkara cewek parsos mxngi punya pacar langsung berantem deh tuh berdua https://t.co/FZP3afxs9K,1584539595395727360_1.jpg,wanita,not hate
LGBT https://t.co/H9E3htxERc,1769024478707962049_0.jpg,lgbt,not hate
"i love being the nuruls. seblak, es cekek, daster, cardigan, sweater, and kerudung slobokan is loveable. terakhir the nurulsnya lagi nyari kreco aowkaowk. seru. this is anak kabupaten 🫀🖤 https://t.co/IHARHtgaV2",1749675106224500759_2.jpg,wanita,not hate
-dips! dengerin noh para cowo kere yg ngatain cewe itu matre wkwkwk https://t.co/4g1qjAkVnz,1555440687029530624_0.jpg,wanita,hate
"Maap yak shipper lesbong. Ga penting lisa ngepost2 promosiin brand bias lu, jangan ngarep deh. Mending lisa promoin collab dia 😜 https://t.co/3KvXr1gf67",1656592667537735680_0.jpg,lgbt,hate
"ga nanggepin tapi oppa lu aja caperrr, otomatis naggepin tuh rumor kan. Kremi nya aja yang fokus ke cewe nya doang, noh oppa lu aja caper, pansos ke Jennie dri awal ngefollow🥱🥱 https://t.co/tO6B6V0Am7",1679407089117196288_0.jpg,wanita,hate
oh seblak yang suka dimakan sama cewe cewe twitter itu yang kaya gini? https://t.co/nNaroDTHSJ,1293743320917659649_0.jpg,wanita,hate
USER buaya jantan : aku janji ga akan ninggalin kamu buaya betina : aku ga pernah sesayang ini sm cowok https://t.co/dVke2gr7Ws,1476453031872925696_0.jpg,wanita,hate
pejuang nasi bungkus https://t.co/PdJN5FuG0j,1327490492590743553_0.jpg,muslim,not hate
USER oten nyari duit https://t.co/AegzZxcIeb,1788749955043365241_0.jpg,nonislam,hate
1 lagi PERSEMBAHAN dr mereka yg kalian kafir2kan..kaum minoritas… 500 TON OKSIGEN 🙏🏻…Tuhan membalas kebaikkan bapak SUKANTO TANOTO / TAN KANG HOO ❤️🙏🏻 https://t.co/xL6eYoOyUw,1420246685037436932_2.jpg,nonislam,not hate
"Wkwkwkw 😂 Si USER langsung mingkem karena gak bisa baca kitab gundul.😝😝 Gus Muwafiq bercerita tentang Rasulullah sesuai fakta dianggap penghinaan. UAS: ""Rasulullah tidak mampu mewujudkan Rahmatan Lil alamin. Evie: ""Rasulullah sesat. Bani BODOH 212 BUNGKAM https://t.co/UZDoBu7pkO",1201682936484876288_2.jpg,muslim,hate
"Tahu Allah seperti apa itu nanti disurga,tetapi jika kafir kan tidak masuk surga? https://t.co/TXuzLpCNBO",1782811003690025352_0.jpg,nonislam,hate
"Postingan Majelis Pembinaan Kader dan Sumber Daya Insani (MPKSDI) PP Muhammadiyah di IG Membahas ""Masjid Muhammadiyah"" dan ""Islam Tidak Melarang Orang Beriman untuk Bermain Musik"" Paham kan arahnya ke mana?😁 https://t.co/aBXKpEtO54",1788909078452064560_1.jpg,muslim,hate
