text,label
"di dalam kristen tdk semuanya diatur dlm bible, itulah sebabnya manusia diciptakan dgn akal dan pikiran untuk membedakan mna yg baik dan buruk mna yg patut dan tdk patut, tdk tertulis dlm bible bukan berarti boleh dil",neutral
"Seorang Kristen melakukan apa yg benar karena dia adlh seorang Kristen, bukan supaya menjadi orang Kristen.'",neutral
sebenernya cewe tu gak muluk muluk dikasih ginian aja seneng bgt awass aja bilang matre,neutral
mau join sirkelnya biar aku bisa jadi pick me girl yang kalo lagi sm org lain bisa ngomong aku tuh cewek satu satunya di tongkrongan emg lebih suka temenan sama cowok enak aja gitu gak ribet terus mereka tuh kayak protect aku banget,hate
Aku sayang banget sama kamu Aku janji gak bakal ninggalin kamu Merdu bgt suara buaya betina,hate
"Ganti casing aja ,padahal nyatanya akusisi itu patungan dari beberapa bank asing Ngilu banget dengar nya'",neutral
mngkin krna udah di kasih makan sama kaum sipit dan pesek,hate
Foto jemaah haji asal martapura tempo dlu sumber dlu islam di nusantara sudah begini pake gamis jubah amp surban knp skrg ada yg alergi dan bilang ini kearab2an,hate
Kita Maju Bersama Ulama Kita Bergerak Bersama Semua Tokoh Agama untuk Indonesia,neutral
gemoynya pengen beli tapi juga terlalu gemoy dimata perek pencuri korek,neutral
benderang bahwa pemerintah Jokowi diktator,hate
Perampok goblok. URL,hate
"Belum pernah ada pelatih asing yang menjuarai Piala Dunia. Yang terbaru, Roberto Martinez melatih Belgia, juga gagal di semifinal.'",neutral
Yaman tidak merugikan tidak merampok negara luh kenapa luh musuhi justru cina yang nyolong kekayaan negara luh dipuja puji otak luh dimama njiiing,hate
Kisah pengemis yahudi buta',neutral
Yg bilang kalo cewe suka seblak itu fakgurl siapa Gangerti apa seblak diapain aja tetep enak,neutral
Banyak baca buku jgn modal dengar ceramah habib mesum dan palsu,hate
"Meriah! Acara temu masyarakat Indonesia dgn Gubernur di KJRI Istanbul. Khususnya kpd para pelajar, Bapak Gubernur berpesan agar membangun jaringan dahulu sblm kembali ke Indonesia",neutral
Apa sih hal positif yg pernah keluar dari lambemu Wo? Badanmu udah kayak ikan buntel gitu isinya negatif semua? Sampah.',hate
Aku lagi magang di percetakan modal ngangkang doang,neutral
Tolong di jwb dl pertanyaan gw ya..temen gw bilang...debat or ksh pengertian sm cebong kacung itu percuma..krn dungunya sm ketulang rusuk..bener apa betul itu???',hate
"Setelah - 7 tahun ga ke dokter muka. D Halo Monika, apa kabar? Kemana aja? Sudah ganti presiden brp kali nih baru ketemu?",neutral
RT kalau prabowo yg presiden tanpa istri bisa-bisa Indonesia hancur,hate
"Keputusan ERKA hari ini harus kita HORMATI, begitupun sebaliknya KAMI tidak akan memilih partai pendukung PENISTA AGAMA.",hate
"Bikin kacau kekacauan dimana mana di Indonesia dan kriminal ilegal, mati aja lo URL",hate
Pas mau nikah nyari cewek yg pinter masak Pas udah jadi bapak bapak kolesterol tinggi asam urat tinggi nyalahin istrinya karena pinter masak,hate
Yang Suka Lubang Sanitasi Ini Salah satu Hikmah Larangan dan Hukum untuk Kaum Sodom di Era Kekinian,hate
Mereka soudara kita.. Seharusnya pemerintah memprioritaskan mereka untuk berkerja d peroyek2 pemerintah. Bukan orang asing',neutral
Eh. Cebong jaga tuh congor lu klo ngomong. Emangnya salahnya dmna bong. ',hate
This cewek matre,hate
"kadang yg kemarin udh follow, hari ini jadi followers baru. kan ketara ya di unfoll, tp follow lagi. geblek apa gimana dah tuh manusia'",hate
"Tiap pulang mama selalu nanya ""mana pacarnya, suruh main kesini"" Yaelah ma, anakmu ini masih tergila-gila ama orang kuriahh'",neutral
Liat pameran satwa di Mall amp pas nanya penjualnya ini binatang apa dijawab ini kadal gurun atau dragon beard lizard Hah Beneran Sampe nggak percaya ternyata kadal gurun beneran ada dan aslinya keren,neutral
Sampah visual sudah waktunya dikondisikan ',neutral
"Eehm....justru kristen katolik dan kristen protestan udah membumi nusantara duluan mas2.... Ibadahnya, kitabnya, lagunya, udah gaya jawa, batak, flores, toraja ds",neutral
Back 2 topic Ibu jangan asal judge Itu yg dibawa Mario Ferri bukan bendera lgbt tapi bendera PACE perdamaian Italia Tuh tulisan huruf P amp A keliatan banget Sama2 bendera pelangi tapi beda Bendera Pace muncul di Itali tahun 1961 sedangkan bendera lgbt muncul tahun 1978,neutral
skip ga homok reaksi hunkue,hate
Boleh jadi Yusuf Martak sebagai komandan kadal gurun itu benar karena sebagaimana para superhero lain beliau sudah menjalani proses uniknya Meme diambil dari cuitan Aki,hate
zonk ini antek orde baru..yah sah sah aja mimpi balik ke orde baru..',neutral
jangan heran pemerintahan jokowi sekarang ini budaknya kulinya cina2 ahok kafir dan 9 naga...,hate
"Pndukung Prabowo spt ARB, SDA adl org2 bejad tabiatnya kasar termasuk org ini gtgt '",hate
